,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
389,Month_12,True,3,200,0.9046610169491526,0.8817733990147784
390,Month_12,True,4,25,0.9173728813559322,0.8719211822660099
391,Month_12,True,4,50,0.9194915254237288,0.8768472906403941
392,Month_12,True,4,75,0.9194915254237288,0.8866995073891626
393,Month_12,True,4,100,0.9194915254237288,0.8817733990147784
394,Month_12,True,4,150,0.9194915254237288,0.8817733990147784
395,Month_12,True,4,200,0.9194915254237288,0.8768472906403941
396,Month_12,True,5,25,0.9364406779661016,0.8719211822660099
397,Month_12,True,5,50,0.9364406779661016,0.8669950738916257
398,Month_12,True,5,75,0.9364406779661016,0.8768472906403941
399,Month_12,True,5,100,0.9385593220338984,0.8817733990147784
400,Month_12,True,5,150,0.934322033898305,0.8817733990147784
401,Month_12,True,5,200,0.9385593220338984,0.8768472906403941
402,Month_12,True,6,25,0.951271186440678,0.8768472906403941
403,Month_12,True,6,50,0.9533898305084746,0.8817733990147784
404,Month_12,True,6,75,0.9555084745762712,0.8817733990147784
405,Month_12,True,6,100,0.9555084745762712,0.8866995073891626
406,Month_12,True,6,150,0.9597457627118644,0.8817733990147784
407,Month_12,True,6,200,0.9576271186440678,0.8817733990147784
408,Month_12,True,7,25,0.9639830508474576,0.8620689655172413
409,Month_12,True,7,50,0.961864406779661,0.8719211822660099
410,Month_12,True,7,75,0.9597457627118644,0.8768472906403941
411,Month_12,True,7,100,0.9597457627118644,0.8719211822660099
412,Month_12,True,7,150,0.961864406779661,0.8768472906403941
413,Month_12,True,7,200,0.9597457627118644,0.8719211822660099
414,Month_12,True,8,25,0.9745762711864406,0.8817733990147784
415,Month_12,True,8,50,0.9703389830508474,0.8768472906403941
416,Month_12,True,8,75,0.9682203389830508,0.8817733990147784
417,Month_12,True,8,100,0.9745762711864406,0.8817733990147784
418,Month_12,True,8,150,0.972457627118644,0.8768472906403941
419,Month_12,True,8,200,0.9703389830508474,0.8768472906403941
420,Month_12,True,9,25,0.9766949152542372,0.8620689655172413
421,Month_12,True,9,50,0.9830508474576272,0.8669950738916257
422,Month_12,True,9,75,0.9788135593220338,0.8719211822660099
423,Month_12,True,9,100,0.9809322033898306,0.8669950738916257
424,Month_12,True,9,150,0.9809322033898306,0.8669950738916257
425,Month_12,True,9,200,0.9830508474576272,0.8620689655172413
426,Month_12,True,10,25,0.9872881355932204,0.8620689655172413
427,Month_12,True,10,50,0.9872881355932204,0.8719211822660099
428,Month_12,True,10,75,0.9851694915254238,0.8669950738916257
429,Month_12,True,10,100,0.989406779661017,0.8719211822660099
430,Month_12,True,10,150,0.9851694915254238,0.8669950738916257
431,Month_12,True,10,200,0.9851694915254238,0.8719211822660099
432,Month_18,True,2,25,0.8644859813084113,0.8681318681318682
433,Month_18,True,2,50,0.8691588785046729,0.8681318681318682
434,Month_18,True,2,75,0.883177570093458,0.8681318681318682
435,Month_18,True,2,100,0.883177570093458,0.8681318681318682
436,Month_18,True,2,150,0.883177570093458,0.8681318681318682
437,Month_18,True,2,200,0.883177570093458,0.8681318681318682
438,Month_18,True,3,25,0.897196261682243,0.8681318681318682
439,Month_18,True,3,50,0.9065420560747663,0.8681318681318682
440,Month_18,True,3,75,0.9158878504672897,0.8681318681318682
441,Month_18,True,3,100,0.9205607476635514,0.8571428571428571
442,Month_18,True,3,150,0.9112149532710281,0.8681318681318682
443,Month_18,True,3,200,0.9158878504672897,0.8681318681318682
444,Month_18,True,4,25,0.9065420560747663,0.8571428571428571
445,Month_18,True,4,50,0.9158878504672897,0.8571428571428571
446,Month_18,True,4,75,0.9299065420560748,0.8681318681318682
447,Month_18,True,4,100,0.9252336448598131,0.8681318681318682
448,Month_18,True,4,150,0.9392523364485982,0.8571428571428571
449,Month_18,True,4,200,0.9299065420560748,0.8571428571428571
450,Month_18,True,5,25,0.9392523364485982,0.8571428571428571
451,Month_18,True,5,50,0.9485981308411215,0.8571428571428571
452,Month_18,True,5,75,0.9532710280373832,0.8571428571428571
453,Month_18,True,5,100,0.9532710280373832,0.8571428571428571
454,Month_18,True,5,150,0.9485981308411215,0.8571428571428571
455,Month_18,True,5,200,0.9532710280373832,0.8571428571428571
456,Month_18,True,6,25,0.9532710280373832,0.8351648351648352
457,Month_18,True,6,50,0.9672897196261683,0.8571428571428571
458,Month_18,True,6,75,0.9719626168224299,0.8461538461538461
459,Month_18,True,6,100,0.9719626168224299,0.8461538461538461
460,Month_18,True,6,150,0.9813084112149533,0.8461538461538461
461,Month_18,True,6,200,0.9766355140186916,0.8461538461538461
462,Month_18,True,7,25,0.9766355140186916,0.8681318681318682
463,Month_18,True,7,50,0.985981308411215,0.8681318681318682
464,Month_18,True,7,75,0.985981308411215,0.8461538461538461
465,Month_18,True,7,100,0.985981308411215,0.8681318681318682
