,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
324,Month_6,True,2,25,0.8884540117416829,0.8584474885844748
325,Month_6,True,2,50,0.898238747553816,0.8493150684931506
326,Month_6,True,2,75,0.8923679060665362,0.8447488584474886
327,Month_6,True,2,100,0.8590998043052838,0.8310502283105022
328,Month_6,True,2,150,0.8845401174168297,0.817351598173516
329,Month_6,True,2,200,0.87279843444227,0.7945205479452054
330,Month_6,True,3,25,0.9432485322896281,0.8538812785388128
331,Month_6,True,3,50,0.9628180039138943,0.8264840182648402
332,Month_6,True,3,75,0.9765166340508806,0.8310502283105022
333,Month_6,True,3,100,0.9804305283757339,0.8493150684931506
334,Month_6,True,3,150,1.0,0.817351598173516
335,Month_6,True,3,200,1.0,0.8310502283105022
336,Month_6,True,4,25,0.9941291585127201,0.8356164383561644
337,Month_6,True,4,50,1.0,0.8401826484018264
338,Month_6,True,4,75,1.0,0.8538812785388128
339,Month_6,True,4,100,1.0,0.8356164383561644
340,Month_6,True,4,150,1.0,0.821917808219178
341,Month_6,True,4,200,1.0,0.8310502283105022
342,Month_6,True,5,25,1.0,0.8584474885844748
343,Month_6,True,5,50,1.0,0.8721461187214612
344,Month_6,True,5,75,1.0,0.8447488584474886
345,Month_6,True,5,100,1.0,0.8493150684931506
346,Month_6,True,5,150,1.0,0.8310502283105022
347,Month_6,True,5,200,1.0,0.8401826484018264
348,Month_6,True,6,25,1.0,0.8401826484018264
349,Month_6,True,6,50,1.0,0.8264840182648402
350,Month_6,True,6,75,1.0,0.8493150684931506
351,Month_6,True,6,100,1.0,0.821917808219178
352,Month_6,True,6,150,1.0,0.8264840182648402
353,Month_6,True,6,200,1.0,0.8493150684931506
354,Month_6,True,7,25,1.0,0.8447488584474886
355,Month_6,True,7,50,1.0,0.8401826484018264
356,Month_6,True,7,75,1.0,0.8447488584474886
357,Month_6,True,7,100,1.0,0.8356164383561644
358,Month_6,True,7,150,1.0,0.8538812785388128
359,Month_6,True,7,200,1.0,0.8447488584474886
360,Month_6,True,8,25,1.0,0.8356164383561644
361,Month_6,True,8,50,1.0,0.8538812785388128
362,Month_6,True,8,75,1.0,0.8356164383561644
363,Month_6,True,8,100,1.0,0.8493150684931506
364,Month_6,True,8,150,1.0,0.8447488584474886
365,Month_6,True,8,200,1.0,0.8310502283105022
366,Month_6,True,9,25,1.0,0.8356164383561644
367,Month_6,True,9,50,1.0,0.8401826484018264
368,Month_6,True,9,75,1.0,0.8310502283105022
369,Month_6,True,9,100,1.0,0.8447488584474886
370,Month_6,True,9,150,1.0,0.8310502283105022
371,Month_6,True,9,200,1.0,0.8401826484018264
372,Month_6,True,10,25,1.0,0.8310502283105022
373,Month_6,True,10,50,1.0,0.8264840182648402
374,Month_6,True,10,75,1.0,0.8356164383561644
375,Month_6,True,10,100,1.0,0.863013698630137
376,Month_6,True,10,150,1.0,0.8356164383561644
377,Month_6,True,10,200,1.0,0.8401826484018264
378,Month_12,True,2,25,0.9194915254237288,0.8423645320197044
379,Month_12,True,2,50,0.934322033898305,0.8571428571428571
380,Month_12,True,2,75,0.9364406779661016,0.8571428571428571
381,Month_12,True,2,100,0.9322033898305084,0.8571428571428571
382,Month_12,True,2,150,0.9322033898305084,0.8571428571428571
383,Month_12,True,2,200,0.9322033898305084,0.8571428571428571
384,Month_12,True,3,25,0.9830508474576272,0.8423645320197044
385,Month_12,True,3,50,1.0,0.8472906403940886
386,Month_12,True,3,75,1.0,0.8374384236453202
387,Month_12,True,3,100,1.0,0.8423645320197044
388,Month_12,True,3,150,1.0,0.8522167487684729
389,Month_12,True,3,200,1.0,0.8472906403940886
390,Month_12,True,4,25,1.0,0.8423645320197044
391,Month_12,True,4,50,1.0,0.8571428571428571
392,Month_12,True,4,75,1.0,0.8571428571428571
393,Month_12,True,4,100,1.0,0.8472906403940886
394,Month_12,True,4,150,1.0,0.8423645320197044
395,Month_12,True,4,200,1.0,0.8719211822660099
396,Month_12,True,5,25,1.0,0.8669950738916257
397,Month_12,True,5,50,1.0,0.8472906403940886
398,Month_12,True,5,75,1.0,0.8522167487684729
399,Month_12,True,5,100,1.0,0.8620689655172413
400,Month_12,True,5,150,1.0,0.8620689655172413
401,Month_12,True,5,200,1.0,0.8522167487684729
402,Month_12,True,6,25,1.0,0.8620689655172413
403,Month_12,True,6,50,1.0,0.8620689655172413
404,Month_12,True,6,75,1.0,0.8620689655172413
405,Month_12,True,6,100,1.0,0.8620689655172413
406,Month_12,True,6,150,1.0,0.8669950738916257
407,Month_12,True,6,200,1.0,0.8571428571428571
408,Month_12,True,7,25,1.0,0.8571428571428571
409,Month_12,True,7,50,1.0,0.8719211822660099
410,Month_12,True,7,75,1.0,0.8522167487684729
411,Month_12,True,7,100,1.0,0.8522167487684729
412,Month_12,True,7,150,1.0,0.8620689655172413
413,Month_12,True,7,200,1.0,0.8620689655172413
414,Month_12,True,8,25,1.0,0.8719211822660099
415,Month_12,True,8,50,0.9978813559322034,0.8325123152709359
416,Month_12,True,8,75,1.0,0.8571428571428571
417,Month_12,True,8,100,1.0,0.8620689655172413
418,Month_12,True,8,150,1.0,0.8522167487684729
419,Month_12,True,8,200,1.0,0.8472906403940886
420,Month_12,True,9,25,1.0,0.8571428571428571
421,Month_12,True,9,50,1.0,0.8620689655172413
422,Month_12,True,9,75,1.0,0.8522167487684729
423,Month_12,True,9,100,1.0,0.8719211822660099
424,Month_12,True,9,150,1.0,0.8669950738916257
425,Month_12,True,9,200,1.0,0.8522167487684729
426,Month_12,True,10,25,1.0,0.812807881773399
427,Month_12,True,10,50,1.0,0.8669950738916257
428,Month_12,True,10,75,1.0,0.8571428571428571
429,Month_12,True,10,100,1.0,0.8325123152709359
430,Month_12,True,10,150,1.0,0.8522167487684729
431,Month_12,True,10,200,1.0,0.8423645320197044
432,Month_18,True,2,25,0.985981308411215,0.8681318681318682
433,Month_18,True,2,50,1.0,0.8461538461538461
434,Month_18,True,2,75,1.0,0.8681318681318682
435,Month_18,True,2,100,1.0,0.8461538461538461
436,Month_18,True,2,150,1.0,0.8461538461538461
437,Month_18,True,2,200,1.0,0.8461538461538461
438,Month_18,True,3,25,1.0,0.8571428571428571
439,Month_18,True,3,50,1.0,0.8571428571428571
440,Month_18,True,3,75,1.0,0.8461538461538461
441,Month_18,True,3,100,1.0,0.8241758241758241
442,Month_18,True,3,150,1.0,0.8461538461538461
443,Month_18,True,3,200,1.0,0.8351648351648352
444,Month_18,True,4,25,1.0,0.8681318681318682
445,Month_18,True,4,50,1.0,0.8681318681318682
446,Month_18,True,4,75,1.0,0.8901098901098901
447,Month_18,True,4,100,1.0,0.8791208791208791
448,Month_18,True,4,150,1.0,0.8461538461538461
449,Month_18,True,4,200,1.0,0.8461538461538461
450,Month_18,True,5,25,1.0,0.8571428571428571
451,Month_18,True,5,50,1.0,0.8681318681318682
452,Month_18,True,5,75,1.0,0.8351648351648352
453,Month_18,True,5,100,1.0,0.8571428571428571
454,Month_18,True,5,150,1.0,0.8571428571428571
455,Month_18,True,5,200,1.0,0.8461538461538461
456,Month_18,True,6,25,1.0,0.8461538461538461
